Category,Message,cleaned_email
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,ok lar joking wif u oni,ok lar joking wif u oni
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
ham,u dun say early hor u c already say,u dun say early hor u c already say
ham,nah dont think goes usf lives around though,nah dont think goes usf lives around though
spam,freemsg hey darling 3 weeks word back id like fun still tb ok xxx std chgs send 150 rcv,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv
ham,even brother like speak treat like aids patent,even brother like speak treat like aids patent
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
spam,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hours,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
spam,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
ham,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
spam,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
spam,urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
ham,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,date sunday,date sunday
spam,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching,oh kim watching
ham,eh u remember 2 spell name yes v naughty make v wet,eh u remember spell name yes v naughty make v wet
ham,fine thats way u feel thats way gota b,fine thats way u feel thats way gota b
spam,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtú120 poboxox36504w45wq 16,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
ham,seriously spell name,seriously spell name
ham,im going try 2 months ha ha joking,im going try months ha ha joking
ham,ü pay first lar da stock comin,pay first lar da stock comin
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,aft finish lunch go str lor ard smth lor u finish ur lunch already
ham,ffffffffff alright way meet sooner,ffffffffff alright way meet sooner
ham,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
ham,lol always convincing,lol always convincing
ham,catch bus frying egg make tea eating moms left dinner feel love,catch bus frying egg make tea eating moms left dinner feel love
ham,im back amp packing car ill let know theres room,im back amp packing car ill let know theres room
ham,ahhh work vaguely remember feel like lol,ahhh work vaguely remember feel like lol
ham,wait thats still clear sure sarcastic thats x doesnt want live us,wait thats still clear sure sarcastic thats x doesnt want live us
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheers,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
ham,k tell anything,k tell anything
ham,fear fainting housework quick cuppa,fear fainting housework quick cuppa
